,Periodo,Porcentual interanual,TC,,,
1,01/11/1989,14.48,3.2126904,,,
2,01/12/1989,20.17,3.405490645,,,
3,01/01/1990,21.76,3.531477903,,,
4,01/02/1990,23.12,3.785756607,,,
5,01/03/1990,25.72,3.892523871,,,
6,01/04/1990,29.01,4.194534667,,,
7,01/05/1990,35.7,4.284805,,,
8,01/06/1990,39.8,4.295041,,,
9,01/07/1990,44.54,4.263055161,,,
10,01/08/1990,44.08,4.370408226,,,
11,01/09/1990,51.35,5.594498667,,,
12,01/10/1990,54.58,5.323008065,,,
13,01/11/1990,56.16,4.991673833,,,
14,01/12/1990,59.84,4.966264032,,,
15,01/01/1991,60.67,5.019033065,,,
16,01/02/1991,57.46,5.071541429,,,
17,01/03/1991,53.12,5.059009194,,,
18,01/04/1991,49.46,4.999821167,,,
19,01/05/1991,42.52,4.951517258,,,
20,01/06/1991,38.67,4.926439,,,
21,01/07/1991,34.25,4.980521129,,,
22,01/08/1991,35,5.025606613,,,
23,01/09/1991,26.32,5.005979667,,,
24,01/10/1991,21.51,5.084910161,,,
25,01/11/1991,17.65,5.083885167,,,
26,01/12/1991,10.03,5.056358226,,,
27,01/01/1992,6.64,5.076578871,,,
28,01/02/1992,8.14,5.151932586,,,
29,01/03/1992,10.04,5.137625161,,,
30,01/04/1992,9.41,5.058671333,,,
31,01/05/1992,9.04,5.007433871,,,
32,01/06/1992,8.94,5.083439167,,,
33,01/07/1992,10.43,5.151700323,,,
34,01/08/1992,9.66,5.226264839,,,
35,01/09/1992,11.19,5.293535,,,
36,01/10/1992,11.57,5.312397097,,,
37,01/11/1992,13.2,5.294434167,,,
38,01/12/1992,14.22,5.323835484,,,
39,01/01/1993,14.27,5.281194516,,,
40,01/02/1993,13.33,5.3538575,,,
41,01/03/1993,12.04,5.427353871,,,
42,01/04/1993,12.71,5.489545,,,
43,01/05/1993,12.54,5.553789355,,,
44,01/06/1993,14.39,5.633595,,,
45,01/07/1993,15.27,5.696974839,,,
46,01/08/1993,14.65,5.767757097,,,
47,01/09/1993,13.38,5.83962,,,
48,01/10/1993,13.52,5.859805806,,,
49,01/11/1993,12.75,5.852102833,,,
50,01/12/1993,11.64,5.788883226,,,
51,01/01/1994,13.49,5.852620161,,,
52,01/02/1994,14.32,5.854250179,,,
53,01/03/1994,14.14,5.828304677,,,
54,01/04/1994,13.91,5.796611833,,,
55,01/05/1994,14.14,5.751115323,,,
56,01/06/1994,11.79,5.734101667,,,
57,01/07/1994,9.7,5.674376774,,,
58,01/08/1994,10.74,5.654950323,,,
59,01/09/1994,11.97,5.799663667,,,
60,01/10/1994,12.31,5.783126129,,,
61,01/11/1994,12.44,5.7566465,,,
62,01/12/1994,11.59,5.640704194,,,
63,01/01/1995,9.32,5.727137097,,,
64,01/02/1995,7.94,5.718698393,,,
65,01/03/1995,7.84,5.686322742,,,
66,01/04/1995,7.39,5.734611167,,,
67,01/05/1995,8.12,5.733311129,,,
68,01/06/1995,9.15,5.753431667,,,
69,01/07/1995,8.89,5.764993871,,,
70,01/08/1995,8.25,5.793704677,,,
71,01/09/1995,8.13,5.879695333,,,
72,01/10/1995,8.69,5.950705806,,,
73,01/11/1995,8.57,6.005832833,,,
74,01/12/1995,8.61,5.935167742,,,
75,01/01/1996,9.76,6.087687742,,,
76,01/02/1996,10.83,6.158828621,,,
77,01/03/1996,11.48,6.188630323,,,
78,01/04/1996,11.95,6.145161,,,
79,01/05/1996,11.02,6.082589516,,,
80,01/06/1996,10.34,6.131920667,,,
81,01/07/1996,11.6,6.099864677,,,
82,01/08/1996,12.03,6.081258226,,,
83,01/09/1996,11.77,6.052937333,,,
84,01/10/1996,10.64,6.05132629,,,
85,01/11/1996,10.44,6.024449167,,,
86,01/12/1996,10.85,6.001226935,,,
87,01/01/1997,10.8,6.039583548,,,
88,01/02/1997,12.66,6.10421125,,,
89,01/03/1997,11.51,6.011784355,,,
90,01/04/1997,10.13,6.002685,,,
91,01/05/1997,9.61,5.98834,,,
92,01/06/1997,8.97,5.935861167,,,
93,01/07/1997,7.98,5.939437419,,,
94,01/08/1997,8.05,6.072905,,,
95,01/09/1997,8.33,6.106097167,,,
96,01/10/1997,8.48,6.148578387,,,
97,01/11/1997,7.66,6.213112833,,,
98,01/12/1997,7.13,6.193975484,,,
99,01/01/1998,7.29,6.244190645,,,
100,01/02/1998,5.45,6.226253393,,,
101,01/03/1998,6.11,6.262162419,,,
102,01/04/1998,6.94,6.291483,,,
103,01/05/1998,7.32,6.282391129,,,
104,01/06/1998,7.43,6.306703667,,,
105,01/07/1998,7.27,6.345471774,,,
106,01/08/1998,6.31,6.37258,,,
107,01/09/1998,5.49,6.489815333,,,
108,01/10/1998,4.97,6.555182097,,,
109,01/11/1998,7.35,6.5680405,,,
110,01/12/1998,7.48,6.704197419,,,
111,01/01/1999,6.29,6.95373371,,,
112,01/02/1999,5.17,6.8895875,,,
113,01/03/1999,3.99,6.96136129,,,
114,01/04/1999,3.47,7.053065,,,
115,01/05/1999,3.73,7.25028129,,,
116,01/06/1999,4.22,7.355505667,,,
117,01/07/1999,5.22,7.379479677,,,
118,01/08/1999,6.03,7.593094677,,,
119,01/09/1999,6.79,7.780426833,,,
120,01/10/1999,7.57,7.805630806,,,
121,01/11/1999,5.15,7.769745333,,,
122,01/12/1999,4.92,7.664772581,,,
123,01/01/2000,5.27,7.863345484,,,
124,01/02/2000,6.62,7.808739483,,,
125,01/03/2000,8.28,7.726459194,,,
126,01/04/2000,9.07,7.713333448,,,
127,01/05/2000,7.36,7.703261,,,
128,01/06/2000,7.23,7.722316333,,,
129,01/07/2000,6.14,7.752745161,,,
130,01/08/2000,4.71,7.744906774,,,
131,01/09/2000,4.29,7.792549,,,
132,01/10/2000,3.84,7.809163226,,,
133,01/11/2000,4.17,7.780853,,,
134,01/12/2000,5.08,7.731816129,,,
135,01/01/2001,6.05,7.79236871,,,
136,01/02/2001,5.99,7.751542321,,,
137,01/03/2001,5.42,7.697039194,,,
138,01/04/2001,4.87,7.729406167,,,
139,01/05/2001,6.05,7.774469516,,,
140,01/06/2001,6.3,7.793534167,,,
141,01/07/2001,6.97,7.797282581,,,
142,01/08/2001,8.79,7.835805645,,,
143,01/09/2001,8.99,7.940918966,,,
144,01/10/2001,9.47,8.068168065,,,
145,01/11/2001,9.51,8.095229833,,,
146,01/12/2001,8.91,7.965365645,,,
147,01/01/2002,8.85,8.015309032,,,
148,01/02/2002,9.01,7.943528036,,,
149,01/03/2002,9.13,7.914074355,,,
150,01/04/2002,9.25,7.8261145,,,
151,01/05/2002,9.31,7.824268226,,,
