,Inflación Guatemala,Inflación Inercial,Inflación Estados Unidos,Brecha del producto,Depreciación tipo de cambio,,
feb-01,0.73,1.37,0.399771559,0.532677191,-0.849330291,,
mar-01,0.54,0.73,0.227531286,-1.897768122,-0.492735508,,
abr-01,0.43,0.54,0.397275823,1.490723237,0.658806492,,
may-01,0.3,0.43,0.4522329,-0.783799977,0.269558458,,
jun-01,0.73,0.3,0.16882386,-1.901035411,0.378244391,,
jul-01,0.87,0.73,-0.280898876,-1.366177881,0.000256165,,
ago-01,1.25,0.87,0,-1.742487734,0.671919749,,
sep-01,0.32,1.25,0.450704225,-0.117300396,1.315786126,,
oct-01,0.75,0.32,-0.336511497,1.001602253,1.880738784,,
nov-01,0.7,0.75,-0.16882386,0.485861944,-0.249102381,,
dic-01,0.58,0.7,-0.394588501,1.095102604,-1.499335221,,
ene-02,1.31,0.58,0.226372383,0.292329327,0.70726255,,
feb-02,0.88,1.31,0.395256917,-0.074545088,-0.98331332,,
mar-02,0.65,0.88,0.562429696,0.01605458,-0.353754299,,
abr-02,0.54,0.65,0.559284116,-0.495530354,-1.095961318,,
may-02,0.36,0.54,0,0.752036204,0.525651352,,
jun-02,0.58,0.36,0.055617353,0.81610038,0.452936852,,
jul-02,0.84,0.58,0.111172874,0.612828578,-0.556191805,,
ago-02,-0.03,0.84,0.333148251,0.354792093,-1.064200312,,
sep-02,-0.26,-0.03,0.166021029,2.700908144,0.113834634,,
oct-02,0.28,-0.26,0.165745856,0.437114475,-0.69570641,,
nov-02,0.45,0.28,0,0.310626599,-1.461642545,,
dic-02,0.56,0.45,-0.220628792,1.006002139,0.542442592,,
ene-03,1.19,0.56,0.442233278,1.198754545,1.915307985,,
feb-03,0.69,1.19,0.770500826,0.847741965,0.340587946,,
mar-03,0.43,0.69,0.60076461,0.857524695,1.015616928,,
abr-03,0.45,0.43,-0.217155266,1.128797587,0.03396812,,
may-03,0.25,0.45,-0.163220892,-0.580721229,-0.07965281,,
jun-03,0.27,0.25,0.108991826,-0.249889295,0.20276493,,
jul-03,0.27,0.27,0.108873163,0.02867675,-0.019920268,,
ago-03,0.28,0.27,0.380641653,0.819344581,0.027742609,,
sep-03,0.42,0.28,0.325027086,-0.031588334,0.828643611,,
oct-03,0.43,0.42,-0.107991361,-0.996682552,1.404356355,,
nov-03,0.45,0.43,-0.27027027,0.504005077,-0.24968281,,
dic-03,0.58,0.45,-0.108401084,-2.053947601,-0.629168706,,
ene-04,1.53,0.58,0.488334238,-1.147268449,1.079344308,,
feb-04,0.74,1.53,0.539956803,0.881050439,-0.162935597,,
mar-04,0.72,0.74,0.644468314,-1.786348699,-0.058796919,,
abr-04,0.53,0.72,0.320170758,-0.059102851,-0.612859063,,
may-04,0.83,0.53,0.585106383,-0.792282849,-0.796454796,,
jun-04,0.4,0.83,0.317292438,-0.360880637,-0.577055628,,
