Periodo,TC
nov-89,3.2126904
dic-89,3.405490645
ene-90,3.531477903
feb-90,3.785756607
mar-90,3.892523871
abr-90,4.194534667
may-90,4.284805
jun-90,4.295041
jul-90,4.263055161
ago-90,4.370408226
sep-90,5.594498667
oct-90,5.323008065
nov-90,4.991673833
dic-90,4.966264032
ene-91,5.019033065
feb-91,5.071541429
mar-91,5.059009194
abr-91,4.999821167
may-91,4.951517258
jun-91,4.926439
jul-91,4.980521129
ago-91,5.025606613
sep-91,5.005979667
oct-91,5.084910161
nov-91,5.083885167
dic-91,5.056358226
ene-92,5.076578871
feb-92,5.151932586
mar-92,5.137625161
abr-92,5.058671333
may-92,5.007433871
jun-92,5.083439167
jul-92,5.151700323
ago-92,5.226264839
sep-92,5.293535
oct-92,5.312397097
nov-92,5.294434167
dic-92,5.323835484
ene-93,5.281194516
feb-93,5.3538575
mar-93,5.427353871
abr-93,5.489545
may-93,5.553789355
jun-93,5.633595
jul-93,5.696974839
ago-93,5.767757097
sep-93,5.83962
oct-93,5.859805806
nov-93,5.852102833
dic-93,5.788883226
ene-94,5.852620161
feb-94,5.854250179
mar-94,5.828304677
abr-94,5.796611833
may-94,5.751115323
jun-94,5.734101667
jul-94,5.674376774
ago-94,5.654950323
sep-94,5.799663667
oct-94,5.783126129
nov-94,5.7566465
dic-94,5.640704194
ene-95,5.727137097
feb-95,5.718698393
mar-95,5.686322742
abr-95,5.734611167
may-95,5.733311129
jun-95,5.753431667
jul-95,5.764993871
ago-95,5.793704677
sep-95,5.879695333
oct-95,5.950705806
nov-95,6.005832833
dic-95,5.935167742
ene-96,6.087687742
feb-96,6.158828621
mar-96,6.188630323
abr-96,6.145161
may-96,6.082589516
jun-96,6.131920667
jul-96,6.099864677
ago-96,6.081258226
sep-96,6.052937333
oct-96,6.05132629
nov-96,6.024449167
dic-96,6.001226935
ene-97,6.039583548
feb-97,6.10421125
mar-97,6.011784355
abr-97,6.002685
may-97,5.98834
jun-97,5.935861167
jul-97,5.939437419
ago-97,6.072905
sep-97,6.106097167
oct-97,6.148578387
nov-97,6.213112833
dic-97,6.193975484
ene-98,6.244190645
feb-98,6.226253393
mar-98,6.262162419
abr-98,6.291483
may-98,6.282391129
jun-98,6.306703667
jul-98,6.345471774
ago-98,6.37258
sep-98,6.489815333
oct-98,6.555182097
nov-98,6.5680405
dic-98,6.704197419
ene-99,6.95373371
feb-99,6.8895875
mar-99,6.96136129
abr-99,7.053065
may-99,7.25028129
jun-99,7.355505667
jul-99,7.379479677
ago-99,7.593094677
sep-99,7.780426833
oct-99,7.805630806
nov-99,7.769745333
dic-99,7.664772581
ene-00,7.863345484
feb-00,7.808739483
mar-00,7.726459194
